userId,name,,status,latitude,longitude,description
10,Tumacacori Mountains,,Open,-111.12,31.5602,Mountain range within the Nogales Ranger District which lies just west of Interstate 19 and extends southward to the International border.
11,Atascosa Mountains,,Open,-111.15,31.4462,Nogales Ranger District
12,Santa Catalina Recreation Area,,Open,-110.708,32.4275,Located adjacent to Tucson the Santa Catalina Recreation Area is the most heavily visited part of the Coronado National Forest.The nearby Rincon Mountains receive fewer visitors but are home to such notable features as theSpencer Canyon Rose Canyon Lake Whitetail and Showers Point campgrounds are all managed by Recreation Resource Management under a special use permit with the Coronado National Forest. These sites are open from about Easter to sometime in October. For more information please call them directly. For Spencer Canyon Campground please call: 520-576-1492 for Rose CanyonÂ Lake Campground please call: 520-576-3091 or 520-576-1477 Whitetail Campground please call:Â  520-576-9198 and for Showers Point Campground please call:Â  520-576-1325. You can reserve campsite and/or group areas at these sites at recreation.gov. Please note the Interagency and National Forest passes do not include access to these areas.Molino Basin and Gordon Hirabayashi Campgrounds are open from November 1Molino Basin Campground is located near milepost 6 on the Catalina Highway. There are 37 first-come first served campsites for $10 a night. There is one reservable group site which can be reserved throughGordon Hirabayashi Campground is located near milepost 7 on the Catalina Highway. There are 11 first-come first served campsites. The sites are $10 a night. There is no drinking water available.General Hitchcock Campground is located at mile post 12 along the Catalina Highway. There are 12 tent only first- come first served campsites.Â  These sites are $10 a night. There is no drinking water available at this campgroundPeppersauce Campground is located 15 miles South East of the town of Oracle on Forest Road 38. There are 17 first-come first served campsites. The individual sites are $10 a night. There is one reserveable group site. You can reserve the group site throughFor current information on guided nature walks hikes childrenâ€™s programs family activities and school field trips go toA Standard Amenity Fee is required at certain areas on the Santa Catalina Ranger District including Sabino Canyon Recreation Area Middle Bear Chichauhua Pine Cypress Inspiration Rock Loma Linda Picnic Area Alder Box Elder Marshall Gulch and Mt. Lemmon Recreation Site. The day pass for the fee sites in the forest is $5. A week pass is $10. An annual pass is $20. The Forest also sells and accepts the $80 Inter Agency Annual Pass. You can purchase these passes at the Palisades Visitor Center open Thursday-Monday from 8-4:30 or open every day from 8-4:30 May 1 â€“ October 31. These passes are also sold at the Sabino Canyon Visitor Center open seven days a week from 8-4:30. You can also purchase or obtain other Inter Agency passes that work on the Forest including the $10 Senior Pass the free Military Pass the free Access Pass and the free 4Please note these passes do not include access to Rose Canyon Lake. The day pass for Rose Canyon Lake can be purchased on site.Map showing recreational areas.Areas for Mountain Biking at Santa Catalina Recreation AreaAreas for Campground Camping at Santa Catalina Recreation AreaAreas for RV Camping at Santa Catalina Recreation AreaAreas for Group Camping at Santa Catalina Recreation Area
13,Sabino Canyon Recreation Area,,Open,-110.8227,32.31,"Come visit Sabino Canyon oneÂ ofÂ the most premier natural areas in southern Arizona. This recreation area isÂ located at theÂ base of theHere you will find outstanding scenery that features steep rock cliffs and unique desert vegetation adjacent to riparian corridors.Â You may get lucky and view aÂ GilaÂ Monster Bobcat Gambel's Quail Eastern Collard Lizard Gopher Snake and more.Â The animals of this area adapt to our 100 + degree summers and mild winters.Â The Sonoran desertÂ has two rainy seasons:Â gentle winter rains and a dramatic summer monsoon.Â Â Due toÂ winter snow meltÂ andÂ summer electrifying lightning storms Sabino CreekÂ flows almost year around.Â Come have a picnic at one of the many pools and cascades that grace Sabino Creek.Many local people call Sabino Canyon their second home.Â  Some popular contemporary uses are walking jogging hiking bicycling (with restricted times) shuttle riding nature study horseback riding wildlife viewing photography and so much more.Â Â The canyon itself has been closed to private vehicles since 1978.Â  For non-walkers a concessionaireÂ called ""For those who just want a refresher course on its wonders the nature trail at the visitor center offers plenty of wildlife and trailside interpretive information.Â Â The Recreation area itself has overÂ 30 miles of trails.Â Â Come talk to one of our amazing volunteers or employees.Map showing recreational areas."
14,Santa Teresa Mountains,,Open,-110.1935,32.8945,One of four mountain ranges of the Safford Ranger DistrictMap showing recreational areas.
15,Rincon Mountains,,Open,-110.5169,32.136,Mountain range within the Santa Catalina Ranger DistrictMap showing recreational areas.
16,Santa Catalina Mountains,,Open,-110.812,32.4217,Welcome to the Santa Catalina Mountains one of the premier natural areas in southeastern Arizona.Â  The elevation ranges from 2724 ft. inOutstanding scenery abound featuringÂ steep rock cliffs and foothills coverd with unique desert vegetation adjacentÂ to riparian corridors.A perfect springtime walk in Sabino Canyon along the Phoneline Trail with it's bright Brittlebrush plants high up on the hillside overlooking the slowly ascending 3.7 miles paved road thru Sabino Canyon.As the desert blooms in the springtimeÂ in the lowland portion of Sabino Canyon the Barrel Cactus blooms a variety of colors. This one has bursts of red blooms that makes a beautiful sight as well as a tasty treat for the wildlife.Map showing recreational areas.Â At Rose Canyon Lake fishing is allowed from shore only. No boats or swimming allowed.Â 
17,Sierra Vista Recreation Area,,Open,-110.4311,31.5171,The Sierra Vista Recreational Area incorporates several mountain ranges which are separated by rolling hill county and some of the Southwest's most extensive grasslands. The area includesAn extensive network of trails provides access to the Huachuca Mountains and to the 20190 acreInA number of scenic drives cross the area's broad grasslands and anglers find their reward inMap showing recreational areas.Areas for Campground Camping at Sierra Vista Recreation Area
18,Huachuca Mountains,,Open,-110.416,31.4881,Part of Sierra Vista Ranger DistrictMap showing recreational areas.
19,Huachuca Mountains,,Open,-110.416,31.4881,Part of Sierra Vista Ranger DistrictMap showing recreational areas.
20,Sipsey River Picnic Area and Trailhead,,Open,-87.377357,34.314801,Sipsey River Picnic Area has a beautiful river trail tables and a canoe launch.Visitors can enjoy an environment of solitude while surrounded by natural settings.Map showing recreational areas.
21,Conecuh Trail,,Open,-86.57380197,31.15384699,The Conecuh Trail winds 20 miles through the eastern portion of the Conecuh National Forest. The trail was built by the Youth Conservation Corps. Each year beginning in 1976 the young people of the Corps extended the trail through park-like longleaf pine forests around sinkhole ponds and across streams and bottomlands.Â  The trail showcases the diversity of Conecuh ecosystems for the day hiker and backpacker.
22,Chinnabee Silent Hiking Trail,,Open,-85.84146623,33.44409316,The Chinnabee Silent Trail is the perfect hike that showcases the beauty of the Talladega National Forest. The 6 mile moderate to difficult trail was constructed in 1977 by Boy Scout Troop 29 from the Alabama Institute for the Deaf and Blind in Talladega. Beginning at Lake Chinnabee the trail winds beside Cheaha Creek and ends 6 miles at Caney Head atop Talladega Mountain. It is popular because of the spectacular views of flowing streams rock outcroppings and waterfalls.Map showing recreational areas.
23,Lake Chinnabee Recreation Area,,Open,-85.87628321,33.46283503,Not far from Cheaha State park is Lake Chinnabee Recreation Area. This 17-acre lake is tucked into a pastoral valley of peacefulness. Lake Chinnabee Recreation AreaÂ  offers sanitary facilities hiking picnicking fishing and the Chinnabee Silent Trail connects the campground to Cheaha Wilderness. Lake Chinnabee is an ideal spot to enjoy nature for daytime recreation.Map showing recreational areas.
24,Odum Scout Hiking Trail,,None,-85.84306132,33.37026691,Odum Scout Hiking Trail extends for 7.5 miles through the eastern slopes of Talladega Mountain in the Cheaha Wilderness Area. The difficulty level is moderate.Map showing recreational areas.
25,Turnipseed Campground,,Open,-85.8392021,33.44328388,Enjoy nature at its best especially during the fall when mother nature dazzles you with an array of vibrant colors. ThisÂ  primitive camp is located near the Cheaha Wilderness Area and offers camping and hiking. Turnipseed Camp has sanitary facilities.Map showing recreational areas.
26,Galiuro Wilderness,,Open,-110.3302,32.6104,Rugged terrain diverse plant and animal communities old west history and plenty of solitude are available for lovers of wilderness in the Galiuros. These rugged block fault mountains rise over 3700 feet above the semi-desert savannas of the Sulphur Springs and San Pedro Valleys in southeastern Arizona. The 76317-acre Galiuro Wilderness encompasses the mid to upper slopes of the mountains as they rise from golden grasslands through dense thickets of evergreen oak to stands of ponderosa pine. Douglas-fir and bigtooth maple inhabit cooler sheltered areas and a stand of aspen cloaks the northern slope of 7671-foot Bassett Peak the highest in the range. Two major canyons Rattlesnake and Redfield and twin ridges running northeast to southwest form the dominant geologic features of the area. A trail runs along each of these ridges providing access to a variety of connecting trails and spurs. The Galiuros are rich in both natural and cultural history. Wolves roamed these mountains until the mid-1950â€™s. And black bear and mountain lion are still plentiful today. At Power Cabin deep within the mountain range one of the most famous of old west shoot-outs took place in 1918.Map showing recreational areas.
27,Carter Lake Trail,,Open,-149.445227,60.507088,This 6 mile trail is difficult it parallels the eas side of the Scott Valley and passes the shores of several lakes.Map showing recreational areas.Designated backcountry campsites near Carter and Crescent Lakes include bear resistant food lockers.Rainbow Trout in Carter Lake.Grayling in Crescent Lake. Season opens July 1. See ADF&G regulations.Steep climb to subalpine area. 2.3 miles to Carter Lake. 3.4 miles to Crescent Lake.An old jeep road. Steep first 1.5 miles relatively level for remainder. Well maintained though will be muddy during spring snowmelt and after rains.Trail provides access to sub-alpine and alpine country after 1.5 miles of travel. This is a good trail for day hiking. Multi-day trip with tent camping at designated campsites. Good winter access for alpine activities though the trail may be difficult to travel in the steep sections. For a longer hike it is 17.7 miles from the Carter Lake trailhead to Crescent Creek trailhead via the Crescent Lake Primitive trail which includes the Crescent Saddle cabin. It is 7 miles from Carter Lake Trailhead to Crescent Saddle Cabin.During steep first half of trail hiker passes through hemlock forests with alder and willow. As trail levels out vegetation changes to the sub-alpine with lower growing shrubs and a multitude of wildflowers. This level terrain offers best camping sites and excellent vistas.Summer access is difficult from this trail to the west end of Crescent Lake on the primitive trail. Creek crossing on the North end of Crescent Lake does not have a bridge and may be difficult to cross after rains. The primitive trail around Crescent Lake is not recommended for children horse and bike due to difficult trail tall grasses and brush that obscure travel. Creek flowing into Carter Lake is wide and without a bridge expect to get wet.Use caution with bear and moose. Giardia (a microscopic parasite that can infect warm-blooded animals and humans) could be present in all open water sources boil surface water for 5 minutes before drinking. Winter travel may be hazardous due to avalanches thin lake ice and white out conditions above tree line. Winter travelers need to be able to evaluate avalanche and over-ice travel hazards. Be prepared for rapid weather changes. Remember to pack out your trash. You can contact a U.S. Forest Service office to receive more detailed information on safety precautions and Leave No Trace outdoor skills and ethics.Combine withShort steep climb (sometimes icy) to subalpine area surrounding Carter Lake. Also accesses Crescent Saddle and Crescent Lake Cabins via frozen surface of Crescent Lake.
28,Crescent Creek Trail,,Open,-149.67153,60.502819,This 6.2 mile trail climbs graduallyÂ up the narrow valley of Crescent Creek through spruce/birch forestÂ to Crescent Lake.Â Frequent openings afford views of nearby mountains. SnowÂ can remain on the upper part ofÂ the trail until early June.Click here to download the Recreation Opportunity GuideAtÂ Mile 45 Sterling Highway turn south onto Quartz Creek Road. Drive past Quartz Creek and Crescent Creek campgrounds to trailhead (Mile 3.5 Quartz Creek Road). Last mile of road before trailhead is not plowed in winter.Map showing recreational areas.Popular day ride to Crescent Lake and back. 13 miles round trip.Designated backcountry campsites at Crescent Lake.Rainbow trout and grayling in Crescent Creek. Grayling season opens July 1 to allow for spawning. SeeÂ Alaska Department of Fish & GameÂ regulations.Long but gradual hike to Crescent Lake 13 miles round trip.Can be combined withÂ 
29,Crow Pass Cabin,,Open,-149.1169444,61.05555556,This old mining road is 3.9 miles and climbs through spruce/hemlock forest.Â  It emerges into alder-covered hillsides and ends at theÂ bottom end of anÂ alpine valley. Some sections are steep and rugged but the upper parts afford views of Kenai and Lower Trail Lakes and surrounding mountains.At mile 24 Seward Highway turn east onto Solar Mountain Road. Cross railroad tracks and park along side road on far side of tracks.Map showing recreational areas.
30,Devil's Creek Trail,,Open,-149.581951,60.558281,This old mining road is 3.9 miles and climbs through spruce/hemlock forest.Â  It emerges into alder-covered hillsides and ends at theÂ bottom end of anÂ alpine valley. Some sections are steep and rugged but the upper parts afford views of Kenai and Lower Trail Lakes and surrounding mountains.At mile 24 Seward Highway turn east onto Solar Mountain Road. Cross railroad tracks and park along side road on far side of tracks.Map showing recreational areas.Strenuous uphill ride going in this way.27 mile ride to Resurrection Pass South Trailhead. 32 mile ride to north trailhead.Designated backcountry campsites at mile 2.3 and 5.4 include bear resistant food lockers. Devil's Pass cabin (available by reservation onlyAccess to Resurrection Pass Trail for possible through hikes of 27 miles to the south trailhead and 32 miles to the north trailhead.Off trail hiking opportunities in alpine valleys in Devils Pass area.Alternate access to Resurrection Pass Trail.Not recommended beyond mile 3 due to numerous avalanche zones.
31,Falls Creek Trail,,Open,-149.366883,60.419572,This old mining road is 3.9 miles and climbs through spruce/hemlock forest.Â  It emerges into alder-covered hillsides and ends at theÂ bottom end of anÂ alpine valley. Some sections are steep and rugged but the upper parts afford views of Kenai and Lower Trail Lakes and surrounding mountains.At mile 24 Seward Highway turn east onto Solar Mountain Road. Cross railroad tracks and park along side road on far side of tracks.
32,Johnson Pass Trail North,,Open,-149.278135,60.724063,The entire Johnson Pass Trail is a 23 mile easy to moderate multi-use trail. The north trailhead isÂ from mile 64 Seward Highway (east of Granite Creek campground) turn south on Forest Service signed gravel road andÂ drive 1/4 miles to trailhead parking.Â The south trailhead is at mile 32.5 on the Seward Highway. Trail is mostly forested for the first 4 miles on the north endÂ and first 10 miles on the south end. The higher middle section is mostly open subalpine terrain of meadows and brushy areas with views of nearby mountains. Elevation gains are gradual with a few steep sections. Snow can remain at higher elevations until mid June.Click here to download the Recreation Opportunity GuideNorth trailhead: At mile 64 Seward Highway turn south on short access road to trailhead.South trailhead: Mile 32.5 Seward Highway.Map showing recreational areas.Popular mountain bike trail best in early summer June-July after frozen ground melts and dries. By middle of summer tall grasses can impede travel in areas.Designated backcountry campsites most include bear resistant food lockers.
33,Lost Lake Trail,,Open,-149.410954,60.172674,23 mile multi-use trail from mile 64 Seward Highway in the north to mile 32.5 Seward Highway in the south. Trail is mostly forested for the first 4 miles on the north endÂ and first 10 miles on the south end. The higher middle section is mostly open subalpine terrain of meadows and brushy areas with views of nearby mountains. Elevation gains are gradual with a few steep sections. Snow can remain at higher elevations until mid June.
34,Primrose Trail,,Open,-149.371979,60.340219,7.5 mile hiking trail from Primrose Campground to Lost Lake. A gradual 5 mile climb through dense forest to an expansive alpine area of lakes hills and panoramic vistas. Snow can linger up here into July.At mile 17 Seward Highway turn west onto Primrose Road and travel 1 mile to Primrose Campground. Park in the large area before entering the campground. The trailhead is at the far end of the campground road.Map showing recreational areas.There are many excellent places for backcountry camping in the alpine area surrounding Lost Lake. Practice good Leave No Trace ethics and campÂ out of sight of the trail and 200' from lakes and streams.It is a 2 mile hike to a view of Primrose Falls from the end of an unmaintained spur trail.An active mine can be seen at mile 3.7 along with a view of Kenai Lake.At mile 5 the trail breaks out of the trees affording grand mountain vistas in all directions.Combine with Lost Lake Trail for a 15 mile through hike. There are many off-trail hiking opportunities in the alpineÂ hils and valleysÂ surrounding Lost Lake.5 mile trailÂ to Lost Lake alpine area can be bumpy with icy spots on the lower hills.Â 
35,Resurrection River Trail,,Open,-149.588125,60.194848,A 17 mile hiking trail from Exit Glacier Road to Russian Lakes Trail.Â This trail travels through dense spruce/hemlock forest the entire way with onlyÂ occasional views of the river valley and mountains.Â Â  Beyond Martin Creek (mile 4.5) the trail becomes narrow and rough with areas of mud. There can be heavy brush andÂ downed trees impeding travel. There are no bridges at the major stream crossings of Martin Boulder and Upper Summit Creeks andÂ numerous smaller creek crossings also do not have bridges. Travel on this section of trail is for those who seek risk and solitude are self-reliant and want a challenge.
36,Resurrection Pass Trail South,,Open,-149.953797,60.484441,Southern segment of a 39 mile multi-use trail between the Cooper Landing and Hope areas. Trail climbs gradually the first 3 miles through spruce/ birch forest above the Kenai River. It then levels off as it enters the wide Juneau Creek valley passing by lakes muskegs and groves of aspens. After 13 miles it climbs above the trees into an alpine valley. Snow can remain at higher elevations until mid-June.Click here to download the Recreation Opportunity GuideAt mile 53.2 Sterling Highway turn north into trailhead parking area.Recommended winter access is via West Juneau Road just west of this trailhead. Park at highway pullout then followÂ this unplowed roadÂ 2.4 miles. Turn left following orangeÂ diamond markers fro 1.6 miles to Resurrection Pass Trail.Alternate winter access via Bean Creek Trail. At mile 47.7 Sterling Highway turn onto Bean Creek Road and follow 1 mile to Slaughter Ridge Road. Turn right and follow for 0.5 mile to end of plowed road and park. Then follow unplowed road 1.3 miles to Bean Creek Trail. Follow 1.8 miles to Resurrection Pass Trail.Map showing recreational areas.39 mile ride to north trailhead. 27 miles to Devils's Creek Trailhead.Trail can be muddy following spring/early summer melt off.Designated backcountry campsites at Juneau Falls (mile 4.3) Shaft Creek (mile 6.9) Falls Creek (mile 8.4) Juneau Lake (mile 9.1) mile 10.3 Swan Lake (mile 12.6) mile 13.6 and mile 15.6. Most sites have bear resistant food lockers and some sites have box toilets.4 miles to Juneau Falls.39 mile through hike to north trailhead requires vehicle shuttle.Alternate winter access routes are via West Juneau Road or Bean Creek Trail.Trail between Bean Creek junction and Swan Lake can be rough with moguls during seasons open to motorized vehicles.First 4 miles of trail not recommended due to steep narrow sidehills. Alternate routes are West Juneau Road just west of trailhead and Bean Creek Trail. This trail is open to motorized use every other year. Open to motorized useÂ winter 2017-2018 season.Â 
37,Santa Teresa Wilderness,,Open,-110.2701,32.926,More than anything else the 26780-acre Santa Teresa Wilderness can be described as remote. Trails exist in many places only as routes kept open by cowboys driving their stock. These mountains are characterized by deep canyons rocky outcrops and bald summits. Vegetation is predominantly thick chaparral with forests of ponderosa pine occupying high ridges. A stand of Douglas-fir grows on the sheltered north slope of Cottonwood Peak the highest in the range. The granite cliffs buttes and ridges of the Santa Teresas lend themselves to the weathering forces of nature in such a way that in many places they have been sculpted into strikingly picturesque formations. These natural works of art give the Santa Teresa Wilderness an unmistakable character. Because of this areaâ€™s remote nature it serves as ideal habitat for wildlife species that prefer a high degree of isolation. Among those are black bear and mountain lion. Other desert species such as mule deer coatimundi and javelina can be found here as well. When added to this areaâ€™s other notable attributes the possibility of encountering some of these reclusive residents makes a trip to the Santa Teresa Wilderness well worth the effort.
38,Johnson Pass Trail South,,Open,-149.433399,60.503698,23 mile multi-use trail from mile 64 Seward Highway in the north to mile 32.5 Seward Highway in the south. Trail is mostly forested for the first 4 miles on the north endÂ and first 10 miles on the south end. The higher middle section is mostly open subalpine terrain of meadows and brushy areas with views of nearby mountains. Elevation gains are gradual with a few steep sections. Snow can remain at higher elevations until mid June.
39,Russian Lakes Trail Upper & Lower,,Open,-149.96454,60.478055,A 21 mile multiple-use trail from Russian River Campground to Cooper Lake Road. Trail follows the valley of the Russian River past Lower and Upper Russian Lakes then gradually climbs to the area at the head of Cooper Lake. Mostly wooded with frequent open areas with views of mountians and lakes. Snow can remain on the upper end of the trail into the early part of June.Click here to download the Recreation Opportunity GuideLower (north)Â end: At mile 52.6 Sterling Highway turn south into Russian River Campground. Trailhead parking area is 1 mile further. Winter parking is at campground entrance station.Upper (east)Â end: At mile 48 Sterling Highway in Cooper Landing turn south onto Snug Harbor Road. This turns into Cooper Lake Road after 9 miles. It is 3 miles further to the trailhead parking area. Winter parking is at 0.3 mile Cooper Lake Road.Map showing recreational areas.The upper part of the trail can hold snow until early June. Trail can be muddy following spring/early summer melt off. Sections of this trail can become overgrown with tall grasses from mid summer on.Designated backcountry campsites at Russian River Rendzvous Barber Cabin Trail mile 5.7 mile 7.7 Upper Russian Lake (mile 11.9) mile 17 and mile 19.2 (distances from lower end). Most sites include bear resistant food lockers.2.4 miles to Russian River Falls viewing platforms from spur trail at mile 1.43.4 miles to Lower Russian Lake and Barber Cabin from spur trail at mile 2.6Can combine withFairly easy 4 mile ski to Barber Cabin though conditions can be icy. The 6 mile sectionÂ between Lower Russian Lake and Aspen Flats does not see much winter use and can be a difficult and hazardous ski with many steep hills and avalanche paths to cross.Â 
40,Ptarmigan Creek Trail,,Open,-149.362141,60.405522,3.5 mile hiking trail from Ptarmigan Creek Campground to Ptarmigan Lake. The first mile is level along the forested banks of Ptarmigan Creek. It then climbs sometimes steeply to an open mountainside of meadows and brush with views of nearby mountains. The trail goes up and down following the hillside high above the creek then descends to the west end of Ptarmigan LakeÂ a long narrow glacial lake hemmed in by steep mountains.At mile 23 Seward Highway turn east into Ptarmigan Creek Campground. Turn right to trailhead parking area.Map showing recreational areas.Designated backcountry campsites at Ptarmigan Lake with bear resistant foodÂ locker and pit toilet.Dolly Varden in Ptarmigan Lake. See ADF&G regulatations.Dolly Varden and Rainbow Trout in Ptarmigan Creek. See ADF&G regulations.3.4 miles to Ptarmigan Lake. First mile level along Ptarmigan Creek. Remainder up and down through forest and open mountainside.Camping at Ptarmigan lake and along Ptarmigan Lake Trail. 14 miles round trip to far end of lake.Red sockeye salmon run in late August can be viewed along the first mile of trail.
41,Vagt Lake,,Open,-149.371937,60.434993,Rather than running east to west along creek beds like other trails on the Caddo-Womble Ranger District this trail runs north to south across the mountains. Crossing eight mountains the trail is considered extremely strenuous. Trail features include spectacular views of the Ouachita Mountains from such high points as Eagle Rock Vista Brushheap Mountain and Hurricane Knob.Â A geologic outcropping located 150 feet south of the highest point on Brushy Mountain adds to the hiker's experience.Click here for more information and a map.â€¢ Southern trailhead: Take Highway 246 west from Athens to Forest Road 38. Turn right on Forest Road 38 for 9/10 mile. Turn right on Weyerhaeuser Road 53800 for 7/10 mile then left on Forest Road B23F and follow it 9/10 mile to the trailhead sign.â€¢ Northern trailhead: Take Highway 8 from Big Fork to Forest Road 38 and turn south. Travel for 1.5 miles to Forest Road B15. The trailhead is at the end of the road.â€¢ Interior trailheads: Located on Forest Roads 25 and 106.
42,Viles Branch,,Open,-93.856181,34.354601,View the designated Wild and Scenic Little Missouri River through the Winding Stairs area. This area is known for its unique geological formations and outstanding water features. The most popular segment of the trail is from the Winding Stairs area to Shady Lake. Many hikers use a 4-mile section connecting the Little Missouri Trail to the Athens-Big Fork Trail. This trail consists of a 19.4 mile-loop with a 3.3-mile section. Part of the route travels along Forest Roads 38 and 106. The remainder of the route travels an old road that is no longer open to motor vehicle traffic.ClickSurface type of the trail consists of gravel and dirt.Â  The trail is marked by yellow rectangles.Surface type of the trail consists of gravel and dirt.Â  The trail is marked by yellow rectangles.The entire trail is 26 miles long andÂ takes about 2 days hiking.Â  Surface type of the trail consists of gravel and dirt.Â  The trail is marked by yellow rectangles.Surface type of the trail consists of gravel and dirt.Â  The trail is marked by yellow rectangles.
43,Jessieville Winona Fourche Ranger District,,Open,-93.0622667,34.7080583,Map showing recreational areas.Areas for Mountain Biking at Jessieville Winona Fourche Ranger DistrictAreas for Campground Camping at Jessieville Winona Fourche Ranger DistrictAreas for RV Camping at Jessieville Winona Fourche Ranger DistrictAreas for Group Camping at Jessieville Winona Fourche Ranger DistrictAreas for Lake and Pond Fishing at Jessieville Winona Fourche Ranger DistrictFriendship Trail located behind the Ranger Station. This short 30-minute hike meanders through a mature pine and hardwood forest is paved and accessible and features a pond picnic area interpretive signs pavilion and restrooms.Areas for Day Hiking at Jessieville Winona Fourche Ranger DistrictAreas for Backpacking at Jessieville Winona Fourche Ranger DistrictAreas for Horse Riding at Jessieville Winona Fourche Ranger DistrictAvailable Maps:Areas for Target Shooting at Jessieville Winona Fourche Ranger DistrictAreas for Interpretive Areas at Jessieville Winona Fourche Ranger DistrictAreas for Picnicking at Jessieville Winona Fourche Ranger DistrictAreas for Scenic Driving at Jessieville Winona Fourche Ranger DistrictAreas for Boating - Non-Motorized at Jessieville Winona Fourche Ranger DistrictAreas for Swimming at Jessieville Winona Fourche Ranger District
44,Canelo Hills,,Open,-110.59,31.538,Place holder text.Â Boats with motors 10 hp or less allowed on Parker Canyon Lake.
45,Mena/Oden Ranger District,,None,-94.2143167,34.5861389,Mena-Oden Ranger District is a fast paced complex multiple use district consisting of approximately 43 permanent employees several seasonal employees and a large volunteer program We manage approximately 400000 acres including five recreation areas two Wilderness areas two ATV Multi-use Trail Complexes and Historical Tower Sites.Â  Come experience Shady Lake Bard Springs Dragover River access Big Brushy Shirley Creek Access Caney Creek Wilderness Black Fork Mountain Wilderness Wolf Pen Gap Trails Fouche Mountain Trails Bee Mountain Rich Mountain and Tall Peak Tower.The City of Mena sits at the base of Rich Mountain and home ofMap showing recreational areas.Areas for Mountain Biking at Mena/Oden Ranger DistrictAreas for Campground Camping at Mena/Oden Ranger DistrictAreas for RV Camping at Mena/Oden Ranger DistrictAreas for Lake and Pond Fishing at Mena/Oden Ranger DistrictAreas for River and Stream Fishing at Mena/Oden Ranger DistrictAreas for Day Hiking at Mena/Oden Ranger DistrictAreas for Backpacking at Mena/Oden Ranger DistrictAreas for Horse Riding at Mena/Oden Ranger DistrictAvailable Maps:Areas for OHV Trail Riding at Mena/Oden Ranger DistrictAreas for Target Shooting at Mena/Oden Ranger DistrictAreas for Interpretive Areas at Mena/Oden Ranger DistrictAreas for Picnicking at Mena/Oden Ranger DistrictAreas for Boating - Non-Motorized at Mena/Oden Ranger DistrictAreas for Swimming at Mena/Oden Ranger District
